Set,Set Theme,Within Set #,Frequency Rank,Original #,Japanese,Reading,Romaji Pronunciation,Meaning,Part of Speech,Verb Class,POS Subtype,Category,Bucket,Grammar Role / Notes,Frequency Count,Source Rank,Frequency % of Source,Frequency Source,Match Method,Lookup Term,POS / Fallback Note,wordfreq Zipf,Learned?,Notes,Vocab List Source,Classification Source,Why this set
1,Survival + Identity,41,545,22,あちら,あちら,achira,this way (polite),Pronoun,,Polite demonstrative pronoun,Misc/Bridge,Core open list,That way over there,1100,2957,0.00322738,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,あちら,"pn,adj-no",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual learner override for N5 demonstrative/location word,Early conversation anchor
1,Survival + Identity,42,26,28,あなた,あなた,anata,you,Pronoun,,Pronoun,Misc/Bridge,Core open list,Pronoun / can modify nouns with の,74241,54,0.21782189,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,あなた,"pn,adj-no",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: pn,adj-no",Early conversation anchor
1,Survival + Identity,43,17,32,あの,あの,ano,"that over there; like that, that way; um...",Adjective,,pre-noun adjective / filler,Misc/Bridge,Core open list,That ... over there; also used as “um”,92727,39,0.27205952,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,あの,int,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual learner override for N5 demonstrative,Early conversation anchor
1,Survival + Identity,44,209,105,起きる,おきる,okiru,"to get up (e.g., from sleeping); to happen",Verb,Ichidan,Main verb,Misc/Bridge,Core open list,Intransitive,8157,528,0.02393251,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,起きる,"v1,vi",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: v1,vi",Early conversation anchor
1,Survival + Identity,45,335,208,嫌い,きらい,kirai,dislike,Adjective,,na-adjective,Misc/Bridge,Core open list,Can take な before nouns / also noun-like,3704,1073,0.01086748,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,嫌い,"adj-na,n",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: adj-na,n",Early conversation anchor
1,Survival + Identity,46,15,264,この,この,kono,this,Adjective,,pre-noun adjective,Misc/Bridge,Core open list,Used directly before nouns,104393,34,0.30628737,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,この,adj-pn,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: adj-pn,Early conversation anchor
1,Survival + Identity,47,75,331,好き,すき,suki,"liking, fondness, love",Adjective,,na-adjective,Misc/Bridge,Core open list,Can take な before nouns / also noun-like,27082,157,0.07945815,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,好き,"adj-na,n",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: adj-na,n",Early conversation anchor
1,Survival + Identity,48,460,351,ゼロ,ゼロ,zero,zero,Noun,,Number/numeral noun,Misc/Bridge,Core open list,Loanword number,,,0.00525,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,ゼロ,Fallback: no subtitle-corpus match for selected candidates,4.72,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual fallback from word/meaning,Early conversation anchor
1,Survival + Identity,49,29,365,その,その,sono,that,Adjective,,pre-noun adjective,Misc/Bridge,Core open list,Used directly before nouns,71017,57,0.20836273,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,その,adj-pn,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: adj-pn,Early conversation anchor
1,Survival + Identity,50,564,464,どなた,どなた,donata,who,Pronoun,,Polite interrogative pronoun,Misc/Bridge,Core open list,Who,954,3324,0.00279902,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,どなた,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual learner override for N5 interrogative,Early conversation anchor
1,Survival + Identity,51,192,466,どの,どの,dono,which,Adjective,,pre-noun adjective,Misc/Bridge,Core open list,Used directly before nouns,8879,483,0.02605084,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,どの,adj-pn,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: adj-pn,Early conversation anchor
1,Survival + Identity,52,10,488,何,なん; なに,nan; nani,what,Pronoun,,Pronoun,Misc/Bridge,Core open list,Pronoun / can modify nouns with の,122757,24,0.36016705,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,何,"int,pn,adj-no",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: int,pn,adj-no",Early conversation anchor
1,Survival + Identity,53,2,714,私,わたし,watashi,"I, myself",Pronoun,,Pronoun,Misc/Bridge,Core open list,Pronoun / can modify nouns with の,194815,18,0.57158406,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,私,"pn,adj-no",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: pn,adj-no",Early conversation anchor
1,Survival + Identity,54,3,715,私,わたくし,watakushi,"I (formal), myself, private affairs",Pronoun,,Pronoun,Misc/Bridge,Core open list,Pronoun / can modify nouns with の,194815,18,0.57158406,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,私,"pn,adj-no",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: pn,adj-no",Early conversation anchor
1,Survival + Identity,55,49,43,あれ,あれ,are,that one (over there),Pronoun,,Demonstrative pronoun,Numbers/Counters,Core open list,That one over there,35449,114,0.10400679,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,あれ,"v5r-i,vi",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual learner override for N5 demonstrative,Early conversation anchor
1,Survival + Identity,56,125,57,一,いち,ichi,one,Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,15331,266,0.04498091,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,一,"num,pref",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: num,pref",Early conversation anchor
1,Survival + Identity,57,674,201,九,きゅう,kyuu,nine,Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,366,7196,0.00107384,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,九,num,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: num,Early conversation anchor
1,Survival + Identity,58,675,216,九,く,ku,nine,Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,366,7196,0.00107384,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,九,num,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: num,Early conversation anchor
1,Survival + Identity,59,640,243,五,ご,go,five,Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,531,5344,0.00155795,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,五,num,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: num,Early conversation anchor
1,Survival + Identity,60,25,268,これ,これ,kore,this one,Pronoun,,Pronoun,Numbers/Counters,Core open list,Pronoun,74867,53,0.21965857,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,これ,pn,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: pn,Early conversation anchor
1,Survival + Identity,61,472,288,三,さん,san,three,Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,1626,2161,0.00477066,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,三,num,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: num,Early conversation anchor
1,Survival + Identity,62,608,290,四,し,shi,four,Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,672,4423,0.00197164,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,四,num,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: num,Early conversation anchor
1,Survival + Identity,63,650,300,七,しち,shichi,seven,Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,476,5873,0.00139658,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,七,num,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: num,Early conversation anchor
1,Survival + Identity,64,385,314,十,じゅう,juu,ten,Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,2692,1414,0.00789828,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,十,num,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: num,Early conversation anchor
1,Survival + Identity,65,658,352,千,せん,sen,thousand,Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,433,6299,0.00127041,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,千,num,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: num,Early conversation anchor
1,Survival + Identity,66,793,368,それ,それ,sore,that one,Pronoun,,Demonstrative pronoun,Numbers/Counters,Core open list,That one,3,77470,8.8e-06,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,それ,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual learner override for N5 demonstrative,Early conversation anchor
1,Survival + Identity,67,386,451,十,(〜を) とお,(~o) too,ten (~),Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,2692,1414,0.00789828,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,十,num,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: num,Early conversation anchor
1,Survival + Identity,68,514,475,どれ,どれ,dore,which one,Pronoun,,Interrogative pronoun,Numbers/Counters,Core open list,Which one,1324,2557,0.00388459,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,どれ,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual learner override for N5 interrogative,Early conversation anchor
1,Survival + Identity,69,11,495,何～,なん～,nan~,what sort of ~,Pronoun,,Pronoun,Numbers/Counters,Core open list,Pronoun / can modify nouns with の,122757,24,0.36016705,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,何,"int,pn,adj-no",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: int,pn,adj-no",Early conversation anchor
1,Survival + Identity,70,503,496,二,に,ni,two,Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,1413,2432,0.00414572,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,二,num,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: num,Early conversation anchor
1,Survival + Identity,71,682,536,八,はち,hachi,eight,Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,331,7797,0.00097115,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,八,num,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: num,Early conversation anchor
1,Survival + Identity,72,234,567,一人,ひとり,hitori,one person,Noun,,Common noun,Numbers/Counters,Core open list,Noun-like word,6592,629,0.01934082,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,一人,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,73,634,569,百,ひゃく,hyaku,hundred,Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,563,5113,0.00165183,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,百,num,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: num,Early conversation anchor
1,Survival + Identity,74,271,584,二人,ふたり,futari,two people,Noun,,Common noun,Numbers/Counters,Core open list,Noun-like word,5068,789,0.01486943,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,二人,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
